---,Find,Replace,Weight

0,"(""<>"")","(""<>"",""<>"")","1.000000"

0,"(""<Weapon>"")","(""[Metal]"",""<Sword>"",""[HandleExtras]"",""<PommelComplex>"")","1.000000"
0,"(""<Sword>"")","(""<1HandSword>"")","1.000000"
0,"(""<Sword>"")","(""<HandAndAHalfSword>"")","1.000000"
0,"(""<Sword>"")","(""<2HandSword>"")","1.000000"
0,"(""<1HandSword>"")","(""<ShortBlade>"",""<ShortBladeExtras>"",""[SwordGuard]"",""[ShortHandle]"")","1.000000"
0,"(""<1HandSword>"")","(""<LongBlade>"",""<ShortBladeExtras>"",""[SwordGuard]"",""[ShortHandle]"")","1.000000"
0,"(""<HandAndHalfSword>"")","(""<LongBlade>"",""<LongBladeExtras>"",""[SwordGuard]"",""[HalfLongHandle]"")","1.000000"
0,"(""<2HandSword>"")","(""<LongBlade>"",""<LongBladeExtras>"",""[SwordGuard]"",""[ShortHandle]"")","1.000000"
0,"(""<2HandSword>"")","(""<GreatBlade>"",""<GreatBladeExtras>"",""[SwordGuard]"",""[ShortHandle]"")","1.000000"
0,"(""<ShortBladeExtras>"")","(""[BladeProfile]"")","1.000000"
0,"(""<LongBladeExtras>"")","(""[Ricasso]"",""[BladeProfile]"")","1.000000"
0,"(""<GreatBladeExtras>"")","(""[GreatRicasso]"",""[BladeProfile]"")","1.000000"
0,"(""<PommelComplex>"")","(""[Pommel]"")","1.000000"
0,"(""<PommelComplex>"")","(""[GemstonePommel]"")","1.000000"
0,"(""<PommelComplex>"")","(""[ButtCap]"")","1.000000"
0,"(""<PommelComplex>"")","("""")","1.000000"
0,"(""<ShortBlade>"")","(""[ShortStraightBlade]"")","1.000000"
0,"(""<ShortBlade>"")","(""[ShortCurvedBlade]"")","1.000000"
0,"(""<ShortBlade>"")","(""[ShortHookedBlade]"")","1.000000"
0,"(""<LongBlade>"")","(""[LongStraightBlade]"")","1.000000"
0,"(""<LongBlade>"")","(""[LongCurvedBlade]"")","1.000000"
0,"(""<LongBlade>"")","(""[LongHookedBlade]"")","1.000000"
0,"(""<GreatBlade>"")","(""[GreatStraightBlade]"")","1.000000"
0,"(""<GreatBlade>"")","(""[GreatCurvedBlade]"")","1.000000"
0,"(""<GreatBlade>"")","(""[GreatHookedBlade]"")","1.000000"

0,"(""<Weapon>"")","(""<Breaker>"")","1.000000"
0,"(""<Breaker>"")","(""<BreakerHeadComplex>"",""[2HandHandle]"",""[1HandSwordGuard]"",""<PommelComplex>"")","1.0"
0,"(""<Breaker>"")","(""<BreakerHeadComplex>"",""[2HandHandle]"",""<PommelComplex>"")","1.0"
0,"(""<BreakerHeadComplex>"")","(""[Metal]"",""[AxeBlade]"")","1.0"
0,"(""<BreakerHeadComplex>"")","(""[Metal]"",""[HammerHead]"")","1.0"

0,"(""<Weapon>"")","(""<Polearm>"")","1.000000"
0,"(""<Polearm>"")","(""<PolearmHeadComplex>"",""<StaffComplex>"",""<PommelComplex>"")","1.0"
0,"(""<StaffComplex>"")","(""[Staff]"",""<Material>"")","1.0"
0,"(""<PolearmHeadComplex>"")","(""[Metal]"",""[SpearHead]"")","1.0"
0,"(""<PolearmHeadComplex>"")","(""[Metal]"",""[HalberdHead]"")","1.0"
0,"(""<PolearmHeadComplex>"")","(""[Metal]"",""[OtherPolearmHead]"")","1.0"

0,"(""<Weapon>"")","(""<Tome>"")","1.000000"
0,"(""<Tome>"")","(""[Color]"",""[Metal]"",""[Genre]"",""[Grandiosity]"")","1.0"

0,"(""<Weapon>"")","(""<Bow>"")","1.000000"
0,"(""<Bow>"")","(""<Material>"",""[BowType]"",""[String]"")","1.0"

0,"(""<Weapon>"")","(""<Bag>"")","1.000000"
0,"(""<Weapon>"")","(""<Chisel>"")","1.0"

0,"(""<Material>"")","(""[Metal]"")","1.000000"
0,"(""<Material>"")","(""[Wood]"")","1.000000"
0,"(""[Metal]"",""[Metal]"")","(""[Metal]"")","1.000000"
